inventory_id,lens_type,lens_index,coating,sphere_power,cylinder_power,quantity,monthly_demand,reorder_level,source
1,Single Vision,1.56,Hard Coat,-3.75,-0.5,13,8,5,Inhouse
2,Single Vision,1.67,Anti-Glare,1.75,0.0,11,8,5,Inhouse
3,Single Vision,1.61,Anti-Glare,-2.75,-1.25,12,8,5,Inhouse
4,Single Vision,1.56,Hard Coat,-1.0,-2.75,11,5,5,Inhouse
5,Single Vision,1.74,Hard Coat,0.25,-2.25,3,13,5,Inhouse
6,Single Vision,1.56,Hard Coat,-3.25,-2.25,8,2,5,Inhouse
7,Single Vision,1.61,Anti-Glare,-2.75,-0.25,7,5,5,Inhouse
8,Single Vision,1.56,Anti-Glare,-2.5,-0.75,3,8,5,Inhouse
9,Single Vision,1.74,Anti-Glare,-2.75,0.0,4,7,5,Inhouse
10,Single Vision,1.74,Blue Cut,-2.75,0.0,3,7,5,Inhouse
11,Bifocal,1.74,Blue Cut,0.25,-2.0,12,4,5,Inhouse
12,Single Vision,1.67,Anti-Glare,4.0,0.0,3,5,5,Inhouse
13,Single Vision,1.61,Blue Cut,0.0,-0.5,4,8,5,Inhouse
14,Single Vision,1.56,Hard Coat,-3.5,-2.25,3,2,5,Inhouse
15,Single Vision,1.74,Hard Coat,-2.5,0.0,10,10,5,Inhouse
16,Single Vision,1.67,Blue Cut,-3.75,-0.5,3,8,5,Inhouse
17,Progressive,1.67,Hard Coat,-2.75,-0.25,8,8,5,Inhouse
18,Single Vision,1.74,Hard Coat,-0.25,0.0,8,5,5,Inhouse
19,Progressive,1.74,Hard Coat,-3.25,-1.0,2,9,5,Inhouse
20,Progressive,1.67,Blue Cut,-4.5,0.0,2,8,5,Inhouse
21,Single Vision,1.61,Hard Coat,-3.75,-2.0,13,8,5,Inhouse
22,Progressive,1.56,Anti-Glare,0.25,-0.5,11,8,5,Inhouse
23,Single Vision,1.67,Hard Coat,-0.75,-1.5,10,16,5,Inhouse
24,Progressive,1.61,Hard Coat,1.5,-0.5,7,7,5,Inhouse
25,Single Vision,1.74,Blue Cut,-6.0,0.0,4,14,5,Inhouse
26,Single Vision,1.74,Blue Cut,-4.25,0.0,11,11,5,Inhouse
27,Single Vision,1.61,Blue Cut,-2.0,-0.5,3,19,5,Inhouse
28,Single Vision,1.67,Anti-Glare,-3.0,0.0,4,8,5,Inhouse
29,Single Vision,1.67,Hard Coat,-3.0,-1.25,9,9,5,Inhouse
30,Bifocal,1.61,Anti-Glare,-0.5,0.0,3,7,5,Inhouse
31,Progressive,1.61,Photochromic,-2.5,-0.25,12,2,5,Inhouse
32,Progressive,1.74,Blue Cut,1.25,-0.5,6,6,5,Inhouse
33,Progressive,1.61,Blue Cut,-3.0,-1.0,8,7,5,Inhouse
34,Single Vision,1.56,Anti-Glare,1.0,-1.0,10,7,5,Inhouse
35,Progressive,1.56,Blue Cut,-1.5,-1.0,10,4,5,Inhouse
36,Single Vision,1.74,Blue Cut,-2.25,-1.0,2,9,5,Inhouse
37,Single Vision,1.56,Anti-Glare,-1.75,-0.25,4,7,5,Inhouse
38,Single Vision,1.67,Anti-Glare,-3.5,0.0,4,6,5,Inhouse
39,Bifocal,1.74,Photochromic,-5.25,-0.75,12,5,5,Inhouse
40,Single Vision,1.74,Anti-Glare,-1.25,-1.25,8,5,5,Inhouse
41,Single Vision,1.67,Anti-Glare,-2.0,-0.5,10,12,5,Inhouse
42,Single Vision,1.61,Blue Cut,-0.75,-0.75,6,8,5,Inhouse
43,Single Vision,1.74,Photochromic,0.75,0.0,7,12,5,Inhouse
44,Single Vision,1.61,Photochromic,-0.25,0.0,11,4,5,Inhouse
45,Single Vision,1.56,Hard Coat,-2.5,0.0,8,6,5,Inhouse
46,Single Vision,1.56,Anti-Glare,-1.25,-1.25,7,11,5,Inhouse
47,Single Vision,1.61,Photochromic,-1.5,-1.0,9,6,5,Inhouse
48,Single Vision,1.56,Photochromic,-3.5,-0.25,8,7,5,Inhouse
49,Single Vision,1.74,Photochromic,-0.25,-1.0,2,5,5,Inhouse
50,Single Vision,1.67,Hard Coat,-3.0,-1.0,9,9,5,Inhouse
51,Bifocal,1.56,Blue Cut,-2.25,-0.25,7,12,5,Inhouse
52,Single Vision,1.67,Hard Coat,-1.0,0.0,11,7,5,Inhouse
53,Single Vision,1.67,Photochromic,-2.25,-1.0,2,9,5,Inhouse
54,Progressive,1.61,Photochromic,-1.0,0.0,12,4,5,Inhouse
55,Single Vision,1.56,Blue Cut,1.0,-1.5,6,7,5,Inhouse
56,Progressive,1.61,Hard Coat,-1.0,-0.5,6,10,5,Inhouse
57,Single Vision,1.67,Anti-Glare,-1.0,0.0,11,5,5,Inhouse
58,Single Vision,1.61,Blue Cut,-1.0,-1.5,4,10,5,Inhouse
59,Single Vision,1.61,Hard Coat,-1.25,-2.0,11,6,5,Inhouse
60,Single Vision,1.67,Photochromic,-4.0,0.0,5,8,5,Inhouse
61,Progressive,1.56,Hard Coat,-3.0,-2.0,0,3,5,Vendor
62,Progressive,1.67,Blue Cut,0.5,-0.25,9,6,5,Inhouse
63,Single Vision,1.61,Hard Coat,-3.25,-0.5,13,5,5,Inhouse
64,Single Vision,1.61,Hard Coat,-3.25,-1.5,12,10,5,Inhouse
65,Bifocal,1.56,Photochromic,0.25,-1.0,12,4,5,Inhouse
66,Single Vision,1.56,Anti-Glare,-1.5,0.0,7,10,5,Inhouse
67,Single Vision,1.61,Photochromic,-4.25,-0.75,5,7,5,Inhouse
68,Progressive,1.61,Blue Cut,-3.75,-0.25,10,5,5,Inhouse
69,Bifocal,1.74,Anti-Glare,-1.75,0.0,3,7,5,Inhouse
70,Bifocal,1.61,Blue Cut,-3.25,-2.25,4,6,5,Inhouse
71,Progressive,1.74,Blue Cut,-3.25,-1.25,0,2,5,Vendor
72,Single Vision,1.74,Photochromic,-1.25,-0.25,9,8,5,Inhouse
73,Single Vision,1.56,Anti-Glare,-1.0,-1.5,12,13,5,Inhouse
74,Bifocal,1.61,Hard Coat,-1.5,-2.0,8,7,5,Inhouse
75,Progressive,1.67,Hard Coat,0.25,0.0,4,3,5,Inhouse
76,Progressive,1.61,Anti-Glare,-4.25,-1.75,8,8,5,Inhouse
77,Progressive,1.56,Hard Coat,-1.0,-0.5,7,8,5,Inhouse
78,Bifocal,1.56,Anti-Glare,-0.5,0.0,9,6,5,Inhouse
79,Progressive,1.56,Hard Coat,1.25,0.0,0,3,5,Vendor
80,Progressive,1.67,Hard Coat,-2.25,0.0,9,5,5,Inhouse
81,Single Vision,1.61,Blue Cut,-1.25,-1.5,10,17,5,Inhouse
82,Single Vision,1.74,Anti-Glare,3.25,-2.5,3,11,5,Inhouse
83,Single Vision,1.61,Photochromic,-2.25,-0.75,3,8,5,Inhouse
84,Single Vision,1.61,Photochromic,-2.5,0.0,11,8,5,Inhouse
85,Single Vision,1.74,Anti-Glare,1.5,-0.5,2,8,5,Inhouse
86,Single Vision,1.56,Hard Coat,-3.0,-0.5,2,7,5,Inhouse
87,Single Vision,1.74,Blue Cut,3.25,0.0,9,12,5,Inhouse
88,Single Vision,1.74,Photochromic,-5.5,-0.5,6,7,5,Inhouse
89,Progressive,1.74,Hard Coat,-2.5,-2.5,7,5,5,Inhouse
90,Single Vision,1.56,Hard Coat,-0.5,0.0,12,9,5,Inhouse
91,Single Vision,1.56,Anti-Glare,2.0,-0.25,4,12,5,Inhouse
92,Single Vision,1.61,Anti-Glare,-0.75,0.0,11,12,5,Inhouse
93,Single Vision,1.74,Anti-Glare,-4.5,-1.25,2,9,5,Inhouse
94,Single Vision,1.74,Anti-Glare,-2.0,0.0,3,9,5,Inhouse
95,Single Vision,1.67,Photochromic,-6.0,-1.75,2,5,5,Inhouse
96,Single Vision,1.61,Hard Coat,-5.5,-2.0,3,10,5,Inhouse
97,Single Vision,1.74,Hard Coat,-2.5,-0.5,13,5,5,Inhouse
98,Single Vision,1.56,Hard Coat,-1.5,0.0,9,16,5,Inhouse
99,Progressive,1.56,Anti-Glare,-3.5,-0.25,5,13,5,Inhouse
100,Single Vision,1.61,Photochromic,-2.0,-0.75,7,11,5,Inhouse
101,Single Vision,1.74,Photochromic,-1.25,0.0,5,8,5,Inhouse
102,Single Vision,1.61,Photochromic,-2.75,0.0,8,7,5,Inhouse
103,Bifocal,1.74,Hard Coat,-2.5,-0.5,12,11,5,Inhouse
104,Single Vision,1.74,Blue Cut,0.5,0.0,12,8,5,Inhouse
105,Progressive,1.74,Photochromic,0.25,0.0,8,11,5,Inhouse
106,Single Vision,1.61,Anti-Glare,-0.5,-1.5,3,5,5,Inhouse
107,Progressive,1.67,Anti-Glare,-1.5,-0.75,3,6,5,Inhouse
108,Single Vision,1.56,Hard Coat,-2.75,0.0,2,6,5,Inhouse
109,Bifocal,1.67,Hard Coat,-2.0,0.0,7,13,5,Inhouse
110,Progressive,1.56,Photochromic,-2.25,-0.5,11,6,5,Inhouse
111,Bifocal,1.61,Hard Coat,1.0,-0.75,4,6,5,Inhouse
112,Single Vision,1.56,Anti-Glare,-2.0,0.0,9,9,5,Inhouse
113,Single Vision,1.56,Hard Coat,-0.75,-1.0,11,6,5,Inhouse
114,Bifocal,1.61,Photochromic,2.25,0.0,0,2,5,Vendor
115,Single Vision,1.56,Anti-Glare,-3.5,-2.0,9,9,5,Inhouse
116,Single Vision,1.56,Hard Coat,0.0,0.0,2,5,5,Inhouse
117,Progressive,1.74,Blue Cut,-1.5,-1.75,7,4,5,Inhouse
118,Single Vision,1.67,Anti-Glare,-5.75,0.0,11,6,5,Inhouse
119,Progressive,1.67,Anti-Glare,-3.25,-1.0,5,5,5,Inhouse
120,Single Vision,1.67,Photochromic,-0.25,0.0,5,9,5,Inhouse
121,Single Vision,1.61,Blue Cut,-1.0,-1.25,10,8,5,Inhouse
122,Single Vision,1.74,Blue Cut,-0.5,0.0,8,7,5,Inhouse
123,Single Vision,1.56,Hard Coat,-4.5,-2.25,6,5,5,Inhouse
124,Progressive,1.74,Hard Coat,-2.75,0.0,12,6,5,Inhouse
125,Single Vision,1.56,Anti-Glare,-1.0,0.0,12,11,5,Inhouse
126,Single Vision,1.67,Anti-Glare,-2.0,-0.75,7,9,5,Inhouse
127,Progressive,1.61,Blue Cut,-0.5,-0.75,9,9,5,Inhouse
128,Single Vision,1.67,Anti-Glare,0.0,-1.25,12,5,5,Inhouse
129,Single Vision,1.74,Blue Cut,-1.25,0.0,2,7,5,Inhouse
130,Bifocal,1.56,Blue Cut,-1.25,-1.5,8,7,5,Inhouse
131,Bifocal,1.56,Anti-Glare,3.0,-0.25,4,10,5,Inhouse
132,Single Vision,1.67,Hard Coat,2.75,-1.5,11,6,5,Inhouse
133,Single Vision,1.56,Anti-Glare,-1.75,0.0,7,4,5,Inhouse
134,Single Vision,1.67,Blue Cut,-3.25,-1.25,4,11,5,Inhouse
135,Single Vision,1.61,Blue Cut,0.5,-2.5,8,6,5,Inhouse
136,Single Vision,1.61,Blue Cut,-0.75,0.0,6,9,5,Inhouse
137,Single Vision,1.74,Blue Cut,-0.25,0.0,12,12,5,Inhouse
138,Single Vision,1.56,Hard Coat,-4.25,0.0,7,6,5,Inhouse
139,Bifocal,1.74,Blue Cut,-1.75,-1.0,4,6,5,Inhouse
140,Progressive,1.56,Hard Coat,-5.0,0.0,5,5,5,Inhouse
141,Bifocal,1.67,Anti-Glare,-1.0,-0.5,5,7,5,Inhouse
142,Single Vision,1.67,Anti-Glare,-4.75,-1.25,13,11,5,Inhouse
143,Single Vision,1.74,Photochromic,-1.0,-0.5,10,7,5,Inhouse
144,Bifocal,1.56,Hard Coat,-1.5,-0.75,7,6,5,Inhouse
145,Progressive,1.56,Anti-Glare,-2.25,-2.25,3,5,5,Inhouse
146,Single Vision,1.56,Blue Cut,-1.25,-0.25,3,6,5,Inhouse
147,Single Vision,1.61,Photochromic,0.5,0.0,7,3,5,Inhouse
148,Single Vision,1.61,Hard Coat,-0.75,-1.5,3,9,5,Inhouse
149,Single Vision,1.67,Blue Cut,-1.25,0.0,9,5,5,Inhouse
150,Progressive,1.56,Blue Cut,2.5,0.0,6,8,5,Inhouse
151,Progressive,1.61,Anti-Glare,-3.5,-1.0,12,10,5,Inhouse
152,Single Vision,1.56,Blue Cut,-0.25,0.0,9,6,5,Inhouse
153,Progressive,1.74,Anti-Glare,-2.25,-1.0,4,8,5,Inhouse
154,Single Vision,1.61,Anti-Glare,0.5,-2.5,2,7,5,Inhouse
155,Single Vision,1.61,Photochromic,0.25,-1.0,5,8,5,Inhouse
156,Single Vision,1.56,Anti-Glare,1.5,-0.75,7,13,5,Inhouse
157,Single Vision,1.67,Photochromic,0.5,-0.5,3,8,5,Inhouse
158,Bifocal,1.61,Blue Cut,-5.0,-0.75,12,4,5,Inhouse
159,Single Vision,1.61,Hard Coat,-1.5,-0.25,12,5,5,Inhouse
160,Single Vision,1.74,Hard Coat,-4.0,0.0,5,7,5,Inhouse
161,Single Vision,1.74,Anti-Glare,-3.75,-0.25,7,12,5,Inhouse
